,polynomial degree,MSE Bootstrap,MSE Kfold-crossvalidation,MSE Kfold-crossvalidation Ridge
0,1,0.14970825153130754,0.13048565346723118,0.11186242319295561
1,2,0.11353776825403454,0.11090586485322888,0.10555186429937594
2,3,0.11375125775900116,0.09800305246271389,0.13393601598959254
3,4,0.09325930884953329,0.09644646338580673,0.10304966198216006
4,5,0.09446177929274356,0.0951632680320309,0.10244509249705533
5,6,0.09300814256644732,0.09427707882229674,0.10843637058247885
6,7,0.09283615367199748,0.09329887218255346,0.12865737812932612
7,8,0.10557678547885298,0.09431807438708878,22.73935675598207
8,9,0.09844273803838262,0.09553274641715312,0.1286160657962846
9,10,0.09841173599174659,0.09488646159286251,0.22677423388822976
10,11,0.1250276273897396,0.09688035970039065,0.1300813170411722
11,12,0.1020703349221294,0.09745903739827771,0.3781993571637117
12,13,0.10291095180815946,0.10328303772105411,0.11098213329296724
13,14,0.10219690072371022,0.10788237358664836,0.13002015223387836
