,nr_lambdas_ridge,nr_lambdas_lasso,min_lambda,max_lambda,k,datapoints,n_bootstrap,n_bootstraps_lasso,mindeg,maxdeg,lasso_tol,lasso_iterations,R2_lasso,R2_ridge,R2_OLS,MSEBOOTRIDGE,MSEBOOTLASSO,MSEBOOTOLS,MSEkfoldRIDGE,MSEkfoldLASSO,MSEkfoldOLS,bias_LASSO,bias_RIDGE,bias_OLS,variance_0LS,variance_Ridge,variance_LASSO,ideal_lambda_LASSO,ideal_lambda_RIDGE
0,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.33483703829359046,0.34022573271241224,0.34022573271241224,58099.72005861585,58574.248473466105,58099.72005861585,55701.09683404593,57328.661377987206,55672.63065950223,58526.085713059045,58024.64887344203,58024.64887344203,75.07118517381492,75.07118517381492,48.162760407058826,7.742636826811278e-18,2.1049041445120134e-18
1,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.40248976653628926,0.5112152875477812,0.5112152875477812,40795.39529719533,49869.94385724452,40795.39529719533,40301.013886975554,51298.838977438325,40253.79452863459,49778.30835843784,40685.006820500894,40685.006820500894,110.38847669443996,110.38847669443996,91.63549880666608,3.593813663804626e-15,1.519911082952933e-16
2,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.4090076931508137,0.5272295661918143,0.527229566191813,40085.68498973292,50109.58754946971,40085.68498973301,39510.92855854817,50333.50207512441,39475.57607411269,50054.55460000916,39915.03346857465,39915.03346857459,170.6515211584301,170.65152115826606,55.03294946055177,1e-10,3.7649358067924714e-13
3,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.453909595644516,0.6402948433569227,0.6402948433569225,30884.36376364815,46887.44207436443,30884.363763648154,31643.856492673443,49097.49968189535,31661.26382302206,46787.80711693756,30717.795290858077,30717.795290858077,166.56847279007602,166.56847279007252,99.63495742687618,5.994842503189421e-17,1.62975083462064e-17
4,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.41918495522102006,0.6576565499377417,0.6576565499377401,30642.59480879426,51987.792004717216,30642.5948087944,29986.3789530102,48523.29037088165,29960.914472629695,51941.5911746714,30440.617437572993,30440.61743757309,201.97737122130914,201.97737122126924,46.200830045811124,2.782559402207126e-14,1.519911082952933e-16
5,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.43198755731333366,0.6635613894142726,0.6635613763049418,27498.447212246894,46425.88478155283,27498.448283723905,29070.4830207624,48118.307794775545,29071.56657043697,46375.772966180244,27245.475199675227,27245.47606649821,252.9722172256987,252.97201257167157,50.11181537258933,1e-10,2.257019719633917e-11
6,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.4438101426470253,0.6779769414679184,0.6779766035557293,27629.4624749969,47720.88950014409,27629.491467741056,28573.07974376292,48045.659763812386,28489.214380080073,47661.96194191129,27303.412241187834,27303.433483906312,326.05798383474576,326.0502338090643,58.92755823280367,1e-10,2.718588242732951e-11
7,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.4084882076167581,0.6512083180746414,0.6512078384247698,29441.75697900785,49929.93624570321,29441.797466598822,27464.713847382245,48089.69069298295,27451.569514630264,49873.431990133366,29059.140592869066,29059.155472927607,382.64199367121716,382.61638613878415,56.50425556985387,1e-10,2.9150530628251817e-12
8,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.4544101584363081,0.6989619002278241,0.6989619000748977,25755.005754367558,46677.379107932196,25755.005767451017,26438.48226136586,48106.7598805316,26609.106323719887,46609.0601514763,25256.950892973502,25256.95089111285,498.0548763381694,498.05486139405156,68.31895645588381,5.994842503189421e-17,4.977023564332094e-17
9,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.44748998224394526,0.7077415211320426,0.7077304240895859,25113.553089362435,47476.77370068781,25114.50664994329,24711.968824662552,48057.807489996325,24679.00905315809,47414.673981813874,24637.34013099857,24637.585000667972,476.9216492753204,476.2129583638681,62.09971887393565,7.742636826811278e-18,5.857020818056674e-14
