,nr_lambdas,min_lambda,max_lambda,sigma,datapoints,n_bootstrap,train_MSE,test_MSE,bias,variance
0,3,-5,80,0.05,500,100,0.023311015200321084,0.027416556143681468,0.02727010479374986,0.00014645134993160992
1,3,-5,80,0.05,500,100,0.016627457215861053,0.020005254658832305,0.019740003955433176,0.0002652507033991298
2,3,-5,80,0.05,500,100,0.009630420197056193,0.009905702907538233,0.009679243972079317,0.00022645893545891738
3,3,-5,80,0.05,500,100,0.006023279874789016,0.0077989527313577145,0.007496739821760913,0.00030221290959680255
4,3,-5,80,0.05,500,100,0.004532876102246753,0.00801299678003715,0.007400607846692806,0.0006123889333443438
5,3,-5,80,0.05,500,100,0.004375760001287012,0.006101185743340547,0.0058541717472570184,0.00024701399608352786
6,3,-5,80,0.05,500,100,0.003998734950825759,0.008229097979218381,0.00783224295586119,0.00039685502335719047
7,3,-5,80,0.05,500,100,0.0040819343760371725,0.006300553466322904,0.005835946659986088,0.000464606806336817
8,3,-5,80,0.05,500,100,0.003926975559867394,0.0059448769143614875,0.005519746661050301,0.0004251302533111855
9,3,-5,80,0.05,500,100,0.0041197711047214125,0.006014449052445996,0.005614273809249937,0.00040017524319605646
10,3,-5,80,0.05,500,100,0.003866445827788759,0.00549391333179267,0.005180104970556558,0.00031380836123611323
11,3,-5,80,0.05,500,100,0.004014734520090541,0.006366431953654376,0.005933546031297896,0.00043288592235647965
12,3,-5,80,0.05,500,100,0.0038061748989103397,0.0045608421752232516,0.004176043834954234,0.0003847983402690174
13,3,-5,80,0.05,500,100,0.003545071084191716,0.005640698648834672,0.005070097452724989,0.0005706011961096828
14,3,-5,80,0.05,500,100,0.0034815637130869667,0.0074648294684893455,0.007162944931714832,0.00030188453677451545
15,3,-5,80,0.05,500,100,0.0035806680450535624,0.006396416596637042,0.006062319915094762,0.00033409668154227946
16,3,-5,80,0.05,500,100,0.0035822268145628915,0.006201428579660656,0.005650395952780676,0.0005510326268799811
17,3,-5,80,0.05,500,100,0.0036421689126448515,0.007618927162966648,0.006626546667837293,0.0009923804951293541
18,3,-5,80,0.05,500,100,0.003581261759678806,0.005894014242579543,0.005317960422132427,0.0005760538204471134
19,3,-5,80,0.05,500,100,0.0035446123038201708,0.007908205652338905,0.007382240412600974,0.0005259652397379311
