,sigma,datapoints,n_bootstrap,train_MSE,test_MSE,bias,variance
0,0.05,500,5000,0.023304973081782338,0.02738437596212339,0.027243590634104226,0.00014078532801916949
1,0.05,500,5000,0.017290967669535025,0.01864164451567943,0.018360744008621654,0.00028090050705777413
2,0.05,500,5000,0.009606923240775861,0.009804100834451962,0.009546101015278469,0.0002579998191734954
3,0.05,500,5000,0.005741820836405059,0.00831013024226169,0.007846476669886578,0.00046365357237511276
4,0.05,500,5000,0.0040972984365970294,0.005451994120380203,0.0048282152534988515,0.0006237788668813514
5,0.05,500,5000,0.0033940253152584207,0.0036163153810540197,0.0031700351404644104,0.00044628024058960896
6,0.05,500,5000,0.0023265042148602534,0.0057199474484050244,0.004377424027802715,0.001342523420602309
7,0.05,500,5000,0.0021046737654086866,0.006501608524011866,0.004751961754692883,0.0017496467693189823
8,0.05,500,5000,0.0022668252890742768,0.00501538909466975,0.003394616481714384,0.0016207726129553663
9,0.05,500,5000,0.0021125439402780617,0.020894311726368815,0.006499500769007949,0.014394810957360867
