,sigma,datapoints,n_bootstrap,train_MSE,test_MSE,bias,variance
0,0.3,1000,10000,0.1049086177742973,0.09557463913842944,0.09527461953969743,0.00030001959873201487
1,0.3,1000,10000,0.09722489995838832,0.10094356789555649,0.10026516843989693,0.0006783994556595474
2,0.3,1000,10000,0.08825296498592669,0.09045708723999028,0.08927711775349892,0.0011799694864913573
3,0.3,1000,10000,0.08868159622612867,0.0807992112876556,0.07893694675819084,0.001862264529464771
4,0.3,1000,10000,0.08374690037596501,0.0905151392262063,0.08783000417085308,0.002685135055353192
5,0.3,1000,10000,0.08229823235789861,0.09450287375843618,0.09124505813055182,0.003257815627884354
6,0.3,1000,10000,0.08304235420351996,0.08860561229285253,0.08337036094590936,0.00523525134694319
7,0.3,1000,10000,0.08015796212890168,0.10319068389683379,0.09383129957481913,0.009359384322014684
8,0.3,1000,10000,0.07762243204250696,0.11190720676861027,0.09658093299521847,0.015326273773391786
9,0.3,1000,10000,0.07935762463790172,0.09931795944927152,0.08767344082009051,0.011644518629181005
10,0.3,1000,10000,0.07485667038018762,0.14428105439461172,0.09870952640507406,0.04557152798953768
