,nr_lambdas,min_lambda,max_lambda,sigma,datapoints,n_bootstrap,train_MSE,test_MSE,bias,variance
0,6,-6,120,0.05,500,2000,0.023304973081782355,0.027382127366863088,0.02724370879032021,0.00013841857654287541
1,6,-6,120,0.05,500,2000,0.016631239727630004,0.019987089163594506,0.019790498789545485,0.00019659037404901972
2,6,-6,120,0.05,500,2000,0.009355004021853146,0.0109971326710338,0.010714126818623214,0.00028300585241058446
3,6,-6,120,0.05,500,2000,0.005821101914624406,0.007472584471244535,0.007127755389220798,0.00034482908202373514
4,6,-6,120,0.05,500,2000,0.004395308172689928,0.004418761445454756,0.004179778176285662,0.00023898326916909615
5,6,-6,120,0.05,500,2000,0.0031380185267612455,0.0043163988208466866,0.003966001263484442,0.00035039755736224453
6,6,-6,120,0.05,500,2000,0.0027253673307009244,0.0035177288504861445,0.0030255733696403202,0.0004921554808458242
7,6,-6,120,0.05,500,2000,0.0025631022607664105,0.004531383099506721,0.0034899377910431804,0.0010414453084635405
8,6,-6,120,0.05,500,2000,0.0024527708204713735,0.005464167892413856,0.0031993729968736043,0.0022647948955402523
9,6,-6,120,0.05,500,2000,0.0025398157662266355,0.004488346485064016,0.0031151363171628595,0.0013732101679011551
10,6,-6,120,0.05,500,2000,0.0023476476764208226,0.0038333836596504125,0.003173668925736131,0.0006597147339142808
11,6,-6,120,0.05,500,2000,0.0023703221732865546,0.0045580608617006866,0.003358481354576207,0.0011995795071244788
12,6,-6,120,0.05,500,2000,0.0023545303349384182,0.0034280518936847574,0.0026605899055616063,0.0007674619881231503
13,6,-6,120,0.05,500,2000,0.0021449534592479715,0.006206071296793984,0.003739164071299679,0.0024669072254943046
14,6,-6,120,0.05,500,2000,0.0021012696063065733,0.008350580717526828,0.005234036838282091,0.0031165438792447367
15,6,-6,120,0.05,500,2000,0.002334455577430492,0.0037990153913226733,0.0031525995632454497,0.0006464158280772237
16,6,-6,120,0.05,500,2000,0.002153706743083582,0.009455970389593407,0.005378938804656147,0.0040770315849372575
17,6,-6,120,0.05,500,2000,0.001953847291679264,0.006062195637509433,0.004075762693994295,0.0019864329435151378
18,6,-6,120,0.05,500,2000,0.00225556220390165,0.01780940704030664,0.005633530142848309,0.01217587689745833
19,6,-6,120,0.05,500,2000,0.0021125144453411284,0.00955715928294503,0.0038561516109754,0.005701007671969629
