poly.deg.,OLS C.I.R.,OLS_b_max,OLS_b_min,Ridge C.I.R. (L = 0.01),Ridge_b_max(L = 0.01),Ridge_b_min(L = 0.01),Ridge C.I.R. (L = 1),Ridge_b_max(L = 1),Ridge_b_min(L = 1)
1,2.96,40.69,28.71,2.96,40.69,28.71,2.96,40.69,28.71
2,10.41,374.11,-284.45,10.41,374.11,-284.45,10.41,374.05,-284.3
3,51.06,1101.82,-1147.4,51.04,1101.74,-1147.11,50.41,1094.57,-1119.41
4,251.0,1809.77,-962.73,250.1,1806.52,-961.45,191.69,1542.19,-870.97
5,1059.58,13637.39,-13483.22,964.14,12895.15,-12717.66,251.13,2900.01,-3791.6
6,5677.2,39585.83,-54438.67,2187.73,16611.94,-12092.53,267.09,2988.46,-3140.09
7,28982.7,185763.54,-248494.72,2337.81,14270.01,-9244.9,284.75,2043.72,-2449.97
8,145601.93,360454.0,-300615.13,2478.44,10694.38,-12563.47,303.47,1510.09,-1965.09
9,779708.44,2440303.69,-2383643.6,2662.31,8868.49,-14362.03,309.84,1539.28,-1892.48
10,4173406.48,17394190.99,-21290178.96,2783.06,9201.98,-11418.38,311.39,1640.23,-1840.07
11,20862108.99,227198126.5,-221456804.38,2875.05,8260.19,-9997.17,312.7,1721.07,-1726.57
12,104916073.37,819501381.01,-822835011.39,2961.97,8100.29,-9302.46,317.66,1652.63,-1487.89
13,48854265.0,2015383245.19,-1794834487.91,2988.33,8314.73,-7894.04,317.05,1549.38,-1340.77
14,25288866.93,11342558204.07,-12439808831.79,3007.89,6863.6,-5965.84,317.74,1444.44,-1214.85
15,70395282.78,81857771455.98,-86788376204.73,3056.74,5433.05,-5548.72,321.5,1394.13,-1148.76
