,sigma,datapoints,n_bootstrap,train_MSE,test_MSE,bias,variance
0,0.05,500,10000,0.023304973081782338,0.027383371924202753,0.02724435184328354,0.0001390200809192172
1,0.05,500,10000,0.017577762614212348,0.017053960454819172,0.016844497342212626,0.0002094631126065443
2,0.05,500,10000,0.009974596842006387,0.008893041975234278,0.008595704294722582,0.00029733768051169306
3,0.05,500,10000,0.005889377538668431,0.00716305058500841,0.0068066104638420145,0.00035644012116639313
4,0.05,500,10000,0.004020399063107721,0.005395474109703616,0.00512293217240183,0.0002725419373017855
5,0.05,500,10000,0.0028268477737842866,0.01830930102666315,0.01708758482852651,0.001221716198136646
6,0.05,500,10000,0.002350486701634965,0.004446183420349339,0.003830411733834057,0.0006157716865152818
7,0.05,500,10000,0.002394111644636299,0.007634279553377163,0.004298949357446743,0.0033353301959304217
8,0.05,500,10000,0.0021820201828817846,0.003892890882340913,0.003057581237646306,0.000835309644694607
9,0.05,500,10000,0.0021187337625716268,0.006186885304466031,0.003189192057701239,0.002997693246764793
10,0.05,500,10000,0.0018616529906298573,0.05568486602495534,0.005848385408900245,0.049836480616055084
