,Degree,sigma,datapoints,n_bootstrap,train_MSE,test_MSE,bias,variance
0,1,0.1,800,5000,0.034698849943648497,0.03340253126806857,0.03329299802912856,0.0001095332389400051
1,2,0.1,800,5000,0.02786754730533041,0.026553503390692446,0.026348556658245488,0.00020494673244695325
2,3,0.1,800,5000,0.017887649911995176,0.020114533966310823,0.019833884313846438,0.0002806496524643856
3,4,0.1,800,5000,0.013253943855816443,0.014670656519828185,0.014339115685618697,0.00033154083420948547
4,5,0.1,800,5000,0.01192055967783863,0.011113616509748648,0.010710078043177609,0.00040353846657103907
5,6,0.1,800,5000,0.01021442775373233,0.011911356680743843,0.011431906500269541,0.00047945018047430133
6,7,0.1,800,5000,0.009512487991954565,0.013669600144436921,0.011976518508599559,0.0016930816358373612
7,8,0.1,800,5000,0.008944620586340074,0.012889402084641375,0.011725453716030367,0.0011639483686110086
8,9,0.1,800,5000,0.008835258902143303,0.014914458797341093,0.012246236710469795,0.002668222086871296
9,10,0.1,800,5000,0.008849345271734253,0.01659629940823516,0.012984121835591111,0.0036121775726440475
10,11,0.1,800,5000,0.008453371480300733,0.015343733594272106,0.01149885141170456,0.003844882182567547
11,12,0.1,800,5000,0.008245363979550082,0.0579224105521964,0.013841570299972879,0.04408084025222351
12,13,0.1,800,5000,0.0072689812505344325,0.03150085049946657,0.015505733171050164,0.01599511732841641
