,batchsize,datapoints,degree,analytical_error:,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop,MSE_decay
0,16,5001,12,26879.847061965058,1000,1e-07,1000,10.0,76739.9223819558,88228.32362803459,
1,16,5001,12,26879.847061965058,1000,1e-06,1000,100.0,61173.58377017187,86875.91166574378,
2,16,5001,12,26879.847061965058,1000,1e-05,1000,1000.0,51723.423368015276,79329.72523820939,
3,16,5001,12,26879.847061965058,1000,0.0001,1000,10000.0,41751.22645185863,63886.62553126585,
4,16,5001,12,26879.847061965058,1000,0.001,1000,100000.0,35285.68582952471,52291.90085548212,35157.5195525527
5,16,5001,12,26879.847061965058,1000,0.01,1000,1000000.0,87034.89719012904,42308.72574880917,36446.76526417595
6,16,5001,12,26879.847061965058,1000,0.1,1000,10000000.0,,35419.994217317195,42607.219342302335
7,16,5001,12,26879.847061965058,1000,1.0,1000,100000000.0,,34199.36261838125,51788.17525704498
8,16,5001,12,26879.847061965058,1000,10.0,1000,1000000000.0,,34423.66359019261,61174.5642704325
9,16,5001,12,26879.847061965058,1000,100.0,1000,10000000000.0,,677016.5433923467,76748.25423719452
