,batchsize,datapoints,analytical_error:,degree,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop
0,16,5000,24041.7960246958,12,1000,1e-07,1000,10.0,79667.14385495633,87601.84021550177
1,16,5000,24041.7960246958,12,1000,1e-06,1000,100.0,65155.79713919111,86781.53442713014
2,16,5000,24041.7960246958,12,1000,1e-05,1000,1000.0,51940.941296480756,81029.86274037218
3,16,5000,24041.7960246958,12,1000,0.0001,1000,10000.0,42970.86757773695,67057.62107955017
4,16,5000,24041.7960246958,12,1000,0.001,1000,100000.0,35394.69917669005,51524.31916656338
5,16,5000,24041.7960246958,12,1000,0.01,1000,1000000.0,49429.25187702347,41937.688504223916
6,16,5000,24041.7960246958,12,1000,0.1,1000,10000000.0,,34976.258921868815
7,16,5000,24041.7960246958,12,1000,1.0,1000,100000000.0,,33658.27411467155
8,16,5000,24041.7960246958,12,1000,10.0,1000,1000000000.0,,38573.34737761412
9,16,5000,24041.7960246958,12,1000,100.0,1000,10000000000.0,,1028112.8054229534
