,batchsize,datapoints,degree,analytical_error,epochs,eta,t0,t1,MSE_SGD,MSE_RMSprop,MSE_decay,MSE_ADAM
0,16,200,5,33500.596565065105,100,1e-07,1000,10.0,86440.58125876049,86965.93564976705,,85897.47312985532
1,16,200,5,33500.596565065105,100,1e-06,1000,100.0,86109.19940400415,85527.8154086479,,86442.97776912857
2,16,200,5,33500.596565065105,100,1e-05,1000,1000.0,82720.82206070161,85250.07031897774,inf,85632.5263864791
3,16,200,5,33500.596565065105,100,0.0001,1000,10000.0,71419.07289538412,85597.20989299352,6098229.444665888,86677.65483374202
4,16,200,5,33500.596565065105,100,0.001,1000,100000.0,50741.42181372197,85363.09069162639,44058.09172016103,85393.11234251858
5,16,200,5,33500.596565065105,100,0.01,1000,1000000.0,43403.71972938347,75623.95470379684,50587.42937924147,78376.04909587807
6,16,200,5,33500.596565065105,100,0.1,1000,10000000.0,8.56587286139671e+48,52193.58769679154,71648.4500224047,56687.83435309821
7,16,200,5,33500.596565065105,100,1.0,1000,100000000.0,,44061.973448316225,83246.09958771658,45382.73256783016
8,16,200,5,33500.596565065105,100,10.0,1000,1000000000.0,,39252.19564958283,85642.79920426566,41564.934150656634
9,16,200,5,33500.596565065105,100,100.0,1000,10000000000.0,,258538.59314686124,85009.09271803584,43601.50554392378
