Activation_function,regulizer,batch_size,lambda,eta,train_err,test_err
sigmoid,l1,25,1.000000e-09,1.000000e-03,782.579529,782.690857
sigmoid,l1,25,1.000000e-08,1.000000e-03,831.665466,831.801453
sigmoid,l1,25,1.000000e-07,1.000000e-03,775.835022,775.941528
sigmoid,l1,25,1.000000e-06,1.000000e-03,814.202026,814.334595
sigmoid,l1,25,1.000000e-05,1.000000e-03,794.193359,794.312439
sigmoid,l1,25,1.000000e-04,1.000000e-03,761.051208,761.143494
sigmoid,l1,25,1.000000e-03,1.000000e-03,739.554810,739.622559
sigmoid,l1,25,1.000000e-09,1.000000e-02,11.881227,18.156153
sigmoid,l1,25,1.000000e-08,1.000000e-02,11.889614,18.706104
sigmoid,l1,25,1.000000e-07,1.000000e-02,11.496799,18.334070
sigmoid,l1,25,1.000000e-06,1.000000e-02,11.471498,17.492733
sigmoid,l1,25,1.000000e-05,1.000000e-02,10.601075,16.994043
sigmoid,l1,25,1.000000e-04,1.000000e-02,13.268836,19.112568
sigmoid,l1,25,1.000000e-03,1.000000e-02,179.008850,179.118149
sigmoid,l1,25,1.000000e-09,1.000000e-01,46.032417,46.579323
sigmoid,l1,25,1.000000e-08,1.000000e-01,47.649147,47.645271
sigmoid,l1,25,1.000000e-07,1.000000e-01,47.093136,47.614567
sigmoid,l1,25,1.000000e-06,1.000000e-01,43.744102,45.819637
sigmoid,l1,25,1.000000e-05,1.000000e-01,39.501747,40.085083
sigmoid,l1,25,1.000000e-04,1.000000e-01,63.315197,63.134884
sigmoid,l1,25,1.000000e-03,1.000000e-01,141.329437,141.810577
sigmoid,l1,25,1.000000e-09,1.000000e+00,69.033371,69.283676
sigmoid,l1,25,1.000000e-08,1.000000e+00,66.457710,66.770119
sigmoid,l1,25,1.000000e-07,1.000000e+00,77.947151,79.263962
sigmoid,l1,25,1.000000e-06,1.000000e+00,111.123444,110.952187
sigmoid,l1,25,1.000000e-05,1.000000e+00,88.494164,89.704353
sigmoid,l1,25,1.000000e-04,1.000000e+00,146.628738,147.500824
sigmoid,l1,25,1.000000e-03,1.000000e+00,186.011734,186.118484
sigmoid,l2,25,1.000000e-09,1.000000e-03,802.063599,802.196716
sigmoid,l2,25,1.000000e-08,1.000000e-03,793.157104,793.277832
sigmoid,l2,25,1.000000e-07,1.000000e-03,821.267029,821.401855
sigmoid,l2,25,1.000000e-06,1.000000e-03,792.531494,792.649048
sigmoid,l2,25,1.000000e-05,1.000000e-03,835.967285,836.101868
sigmoid,l2,25,1.000000e-04,1.000000e-03,786.465088,786.578491
sigmoid,l2,25,1.000000e-03,1.000000e-03,757.637329,757.726257
sigmoid,l2,25,1.000000e-09,1.000000e-02,10.848600,17.470524
sigmoid,l2,25,1.000000e-08,1.000000e-02,10.903444,17.501911
sigmoid,l2,25,1.000000e-07,1.000000e-02,10.404130,17.162302
sigmoid,l2,25,1.000000e-06,1.000000e-02,11.328651,17.823009
sigmoid,l2,25,1.000000e-05,1.000000e-02,11.484147,18.100409
sigmoid,l2,25,1.000000e-04,1.000000e-02,14.127928,20.260254
sigmoid,l2,25,1.000000e-03,1.000000e-02,19.782125,22.532503
sigmoid,l2,25,1.000000e-09,1.000000e-01,54.158588,53.423817
sigmoid,l2,25,1.000000e-08,1.000000e-01,44.513927,44.203419
sigmoid,l2,25,1.000000e-07,1.000000e-01,42.551498,43.709881
sigmoid,l2,25,1.000000e-06,1.000000e-01,48.764206,49.235580
sigmoid,l2,25,1.000000e-05,1.000000e-01,62.557037,62.484871
sigmoid,l2,25,1.000000e-04,1.000000e-01,90.613480,91.453308
sigmoid,l2,25,1.000000e-03,1.000000e-01,137.159546,137.756775
sigmoid,l2,25,1.000000e-09,1.000000e+00,64.027557,65.195961
sigmoid,l2,25,1.000000e-08,1.000000e+00,82.289055,81.572487
sigmoid,l2,25,1.000000e-07,1.000000e+00,78.336807,78.912407
sigmoid,l2,25,1.000000e-06,1.000000e+00,127.369972,128.308105
sigmoid,l2,25,1.000000e-05,1.000000e+00,180.087753,180.198990
sigmoid,l2,25,1.000000e-04,1.000000e+00,181.957413,182.068207
sigmoid,l2,25,1.000000e-03,1.000000e+00,181.728012,181.834061
elu,l1,25,1.000000e-09,1.000000e-03,19.322651,24.473665
elu,l1,25,1.000000e-08,1.000000e-03,19.527441,24.641108
elu,l1,25,1.000000e-07,1.000000e-03,21.079660,26.409960
elu,l1,25,1.000000e-06,1.000000e-03,22.588394,28.539951
elu,l1,25,1.000000e-05,1.000000e-03,17.483858,22.489151
elu,l1,25,1.000000e-04,1.000000e-03,20.034163,25.141415
elu,l1,25,1.000000e-03,1.000000e-03,27.412638,32.424763
elu,l1,25,1.000000e-09,1.000000e-02,25.182285,29.792271
elu,l1,25,1.000000e-08,1.000000e-02,19.945486,26.555693
elu,l1,25,1.000000e-07,1.000000e-02,25.406157,29.757185
elu,l1,25,1.000000e-06,1.000000e-02,21.677483,28.455702
elu,l1,25,1.000000e-05,1.000000e-02,21.761114,27.966125
elu,l1,25,1.000000e-04,1.000000e-02,25.829111,30.049068
elu,l1,25,1.000000e-03,1.000000e-02,36.135719,39.192459
elu,l1,25,1.000000e-09,1.000000e-01,46.834110,48.052696
elu,l1,25,1.000000e-08,1.000000e-01,50.425079,53.485046
elu,l1,25,1.000000e-07,1.000000e-01,51.784073,51.924900
elu,l1,25,1.000000e-06,1.000000e-01,65.227478,66.600578
elu,l1,25,1.000000e-05,1.000000e-01,43.257973,44.729160
elu,l1,25,1.000000e-04,1.000000e-01,70.567924,71.400154
elu,l1,25,1.000000e-03,1.000000e-01,128.804688,130.832993
elu,l1,25,1.000000e-09,1.000000e+00,179.055023,179.162949
elu,l1,25,1.000000e-08,1.000000e+00,184.576828,184.683640
elu,l1,25,1.000000e-07,1.000000e+00,180.345825,180.451950
elu,l1,25,1.000000e-06,1.000000e+00,181.750717,181.858170
elu,l1,25,1.000000e-05,1.000000e+00,205.376160,205.482971
elu,l1,25,1.000000e-04,1.000000e+00,464.081604,464.191650
elu,l1,25,1.000000e-03,1.000000e+00,2959.243164,2959.348877
elu,l2,25,1.000000e-09,1.000000e-03,18.301296,23.556448
elu,l2,25,1.000000e-08,1.000000e-03,19.972683,24.110003
elu,l2,25,1.000000e-07,1.000000e-03,18.206888,24.185436
elu,l2,25,1.000000e-06,1.000000e-03,18.570282,23.770515
elu,l2,25,1.000000e-05,1.000000e-03,19.771761,24.053202
elu,l2,25,1.000000e-04,1.000000e-03,19.342981,24.633022
elu,l2,25,1.000000e-03,1.000000e-03,25.165041,30.404228
elu,l2,25,1.000000e-09,1.000000e-02,25.367136,31.362755
elu,l2,25,1.000000e-08,1.000000e-02,23.526779,27.951323
elu,l2,25,1.000000e-07,1.000000e-02,21.712458,27.036123
elu,l2,25,1.000000e-06,1.000000e-02,54.776878,55.638241
elu,l2,25,1.000000e-05,1.000000e-02,29.242886,33.485603
elu,l2,25,1.000000e-04,1.000000e-02,37.377174,40.756023
elu,l2,25,1.000000e-03,1.000000e-02,38.111992,39.847775
elu,l2,25,1.000000e-09,1.000000e-01,34.626846,36.384037
elu,l2,25,1.000000e-08,1.000000e-01,55.404900,56.378674
elu,l2,25,1.000000e-07,1.000000e-01,60.446152,61.600117
