Activation_function,regulizer,batch_size,lambda,eta,train_err,test_err
sigmoid,l1,25,1.000000e-09,1.000000e-03,974.392944,974.452393
sigmoid,l1,25,1.000000e-08,1.000000e-03,914.195801,914.285767
sigmoid,l1,25,1.000000e-07,1.000000e-03,949.601013,949.678040
sigmoid,l1,25,1.000000e-06,1.000000e-03,847.521606,847.651001
sigmoid,l1,25,1.000000e-05,1.000000e-03,819.248535,819.382996
sigmoid,l1,25,1.000000e-04,1.000000e-03,766.121155,766.219116
sigmoid,l1,25,1.000000e-03,1.000000e-03,739.601074,739.668884
sigmoid,l1,25,1.000000e-09,1.000000e-02,25.608389,55.486992
sigmoid,l1,25,1.000000e-08,1.000000e-02,33.468849,65.206238
sigmoid,l1,25,1.000000e-07,1.000000e-02,28.761427,55.117031
sigmoid,l1,25,1.000000e-06,1.000000e-02,28.886162,55.848846
sigmoid,l1,25,1.000000e-05,1.000000e-02,28.841335,55.249832
sigmoid,l1,25,1.000000e-04,1.000000e-02,33.775909,57.540524
sigmoid,l1,25,1.000000e-03,1.000000e-02,178.940689,179.051132
sigmoid,l1,25,1.000000e-09,1.000000e-01,92.556786,103.833565
sigmoid,l1,25,1.000000e-08,1.000000e-01,95.208633,103.412506
sigmoid,l1,25,1.000000e-07,1.000000e-01,92.756851,99.196648
sigmoid,l1,25,1.000000e-06,1.000000e-01,83.764099,94.159927
sigmoid,l1,25,1.000000e-05,1.000000e-01,75.336411,82.780136
sigmoid,l1,25,1.000000e-04,1.000000e-01,85.729538,99.864182
sigmoid,l1,25,1.000000e-03,1.000000e-01,108.777206,118.701492
sigmoid,l1,25,1.000000e-09,1.000000e+00,137.560455,138.061905
sigmoid,l1,25,1.000000e-08,1.000000e+00,128.296707,129.540756
sigmoid,l1,25,1.000000e-07,1.000000e+00,139.033981,142.274612
sigmoid,l1,25,1.000000e-06,1.000000e+00,125.936020,128.453064
sigmoid,l1,25,1.000000e-05,1.000000e+00,130.910019,132.114288
sigmoid,l1,25,1.000000e-04,1.000000e+00,151.360886,152.735275
sigmoid,l1,25,1.000000e-03,1.000000e+00,204.715698,206.841400
sigmoid,l2,25,1.000000e-09,1.000000e-03,1034.625610,1034.622192
sigmoid,l2,25,1.000000e-08,1.000000e-03,938.212646,938.296692
sigmoid,l2,25,1.000000e-07,1.000000e-03,936.557739,936.642212
sigmoid,l2,25,1.000000e-06,1.000000e-03,887.105286,887.195984
sigmoid,l2,25,1.000000e-05,1.000000e-03,861.454712,861.574585
sigmoid,l2,25,1.000000e-04,1.000000e-03,790.747620,790.864258
sigmoid,l2,25,1.000000e-03,1.000000e-03,755.387634,755.474121
sigmoid,l2,25,1.000000e-09,1.000000e-02,25.235542,52.033020
sigmoid,l2,25,1.000000e-08,1.000000e-02,27.874840,56.614658
sigmoid,l2,25,1.000000e-07,1.000000e-02,28.960239,54.456165
sigmoid,l2,25,1.000000e-06,1.000000e-02,28.327190,53.399101
sigmoid,l2,25,1.000000e-05,1.000000e-02,30.979670,58.024952
sigmoid,l2,25,1.000000e-04,1.000000e-02,36.513554,60.211243
sigmoid,l2,25,1.000000e-03,1.000000e-02,34.935719,51.024342
sigmoid,l2,25,1.000000e-09,1.000000e-01,97.456284,107.601440
sigmoid,l2,25,1.000000e-08,1.000000e-01,90.574600,102.840721
sigmoid,l2,25,1.000000e-07,1.000000e-01,88.134750,98.412933
sigmoid,l2,25,1.000000e-06,1.000000e-01,77.776512,88.346443
sigmoid,l2,25,1.000000e-05,1.000000e-01,84.262657,95.401176
sigmoid,l2,25,1.000000e-04,1.000000e-01,96.495018,105.812477
sigmoid,l2,25,1.000000e-03,1.000000e-01,92.074440,97.685791
sigmoid,l2,25,1.000000e-09,1.000000e+00,135.766617,137.101318
sigmoid,l2,25,1.000000e-08,1.000000e+00,126.263489,131.116669
sigmoid,l2,25,1.000000e-07,1.000000e+00,138.130478,136.357361
sigmoid,l2,25,1.000000e-06,1.000000e+00,154.528458,157.387604
sigmoid,l2,25,1.000000e-05,1.000000e+00,211.433792,213.207108
sigmoid,l2,25,1.000000e-04,1.000000e+00,179.627045,179.734848
sigmoid,l2,25,1.000000e-03,1.000000e+00,179.124481,179.233978
elu,l1,25,1.000000e-09,1.000000e-03,93.879059,100.542717
elu,l1,25,1.000000e-08,1.000000e-03,92.482773,98.874443
elu,l1,25,1.000000e-07,1.000000e-03,86.929199,95.530052
elu,l1,25,1.000000e-06,1.000000e-03,78.654839,86.251617
elu,l1,25,1.000000e-05,1.000000e-03,72.624794,81.175323
elu,l1,25,1.000000e-04,1.000000e-03,71.784958,81.227524
elu,l1,25,1.000000e-03,1.000000e-03,73.234978,82.733162
elu,l1,25,1.000000e-09,1.000000e-02,57.846966,65.102379
elu,l1,25,1.000000e-08,1.000000e-02,49.683575,55.077133
elu,l1,25,1.000000e-07,1.000000e-02,66.397964,72.345573
elu,l1,25,1.000000e-06,1.000000e-02,61.033642,66.419365
elu,l1,25,1.000000e-05,1.000000e-02,53.494160,62.589401
elu,l1,25,1.000000e-04,1.000000e-02,54.185658,62.020123
elu,l1,25,1.000000e-03,1.000000e-02,85.407249,92.876099
elu,l1,25,1.000000e-09,1.000000e-01,36.990330,42.695946
elu,l1,25,1.000000e-08,1.000000e-01,35.526890,41.607964
elu,l1,25,1.000000e-07,1.000000e-01,44.451611,50.014988
elu,l1,25,1.000000e-06,1.000000e-01,36.112583,41.876213
elu,l1,25,1.000000e-05,1.000000e-01,47.198421,54.186787
elu,l1,25,1.000000e-04,1.000000e-01,42.168549,48.061531
elu,l1,25,1.000000e-03,1.000000e-01,47.149864,52.269699
elu,l1,25,1.000000e-09,1.000000e+00,186.319427,186.426987
elu,l1,25,1.000000e-08,1.000000e+00,181.324020,181.430923
elu,l1,25,1.000000e-07,1.000000e+00,179.498032,179.604889
elu,l1,25,1.000000e-06,1.000000e+00,182.230576,182.341476
