Activation_function,regulizer,batch_size,lambda,eta,train_err,test_err
sigmoid,l1,25,1.000000e-09,1.000000e-03,914.555725,914.645874
sigmoid,l1,25,1.000000e-08,1.000000e-03,990.089050,990.131897
sigmoid,l1,25,1.000000e-07,1.000000e-03,877.774536,877.874756
sigmoid,l1,25,1.000000e-06,1.000000e-03,888.943909,889.034485
sigmoid,l1,25,1.000000e-05,1.000000e-03,815.630066,815.762756
sigmoid,l1,25,1.000000e-04,1.000000e-03,762.587036,762.681274
sigmoid,l1,25,1.000000e-03,1.000000e-03,739.010498,739.078430
sigmoid,l1,25,1.000000e-09,1.000000e-02,9.180213,27.775757
sigmoid,l1,25,1.000000e-08,1.000000e-02,8.148705,24.084978
sigmoid,l1,25,1.000000e-07,1.000000e-02,9.463434,27.658491
sigmoid,l1,25,1.000000e-06,1.000000e-02,8.831719,26.422918
sigmoid,l1,25,1.000000e-05,1.000000e-02,9.870293,27.359205
sigmoid,l1,25,1.000000e-04,1.000000e-02,10.868258,25.377808
sigmoid,l1,25,1.000000e-03,1.000000e-02,178.946579,179.055984
sigmoid,l1,25,1.000000e-09,1.000000e-01,39.244492,41.580837
sigmoid,l1,25,1.000000e-08,1.000000e-01,41.712494,44.135300
sigmoid,l1,25,1.000000e-07,1.000000e-01,39.265896,40.739475
sigmoid,l1,25,1.000000e-06,1.000000e-01,37.177441,40.008705
sigmoid,l1,25,1.000000e-05,1.000000e-01,37.864437,40.526524
sigmoid,l1,25,1.000000e-04,1.000000e-01,46.433323,49.269043
sigmoid,l1,25,1.000000e-03,1.000000e-01,77.835838,80.091370
sigmoid,l1,25,1.000000e-09,1.000000e+00,75.647263,73.367485
sigmoid,l1,25,1.000000e-08,1.000000e+00,66.058685,70.031281
sigmoid,l1,25,1.000000e-07,1.000000e+00,73.767052,74.518364
sigmoid,l1,25,1.000000e-06,1.000000e+00,76.664719,76.520409
sigmoid,l1,25,1.000000e-05,1.000000e+00,73.167221,72.823578
sigmoid,l1,25,1.000000e-04,1.000000e+00,123.315643,124.454422
sigmoid,l1,25,1.000000e-03,1.000000e+00,206.536880,206.357635
sigmoid,l2,25,1.000000e-09,1.000000e-03,970.849243,970.911194
sigmoid,l2,25,1.000000e-08,1.000000e-03,984.255127,984.304871
sigmoid,l2,25,1.000000e-07,1.000000e-03,969.563660,969.627197
