Activation_function,regulizer,batch_size,lambda,eta,train_err,test_err
sigmoid,l1,25,1.000000e-09,1.000000e-03,2.156385,14.228170
sigmoid,l1,25,1.000000e-08,1.000000e-03,1.835266,14.674642
sigmoid,l1,25,1.000000e-07,1.000000e-03,1.399634,12.773923
sigmoid,l1,25,1.000000e-06,1.000000e-03,1.997344,13.419596
sigmoid,l1,25,1.000000e-05,1.000000e-03,178.922607,179.032242
sigmoid,l1,25,1.000000e-04,1.000000e-03,178.923004,179.032562
sigmoid,l1,25,1.000000e-03,1.000000e-03,178.926712,179.036270
sigmoid,l1,25,1.000000e-09,1.000000e-02,4.840063,15.735186
sigmoid,l1,25,1.000000e-08,1.000000e-02,4.233524,15.324453
sigmoid,l1,25,1.000000e-07,1.000000e-02,3.635318,14.556949
sigmoid,l1,25,1.000000e-06,1.000000e-02,3.603506,15.539221
sigmoid,l1,25,1.000000e-05,1.000000e-02,4.452264,16.318529
sigmoid,l1,25,1.000000e-04,1.000000e-02,7.402503,16.631802
sigmoid,l1,25,1.000000e-03,1.000000e-02,178.960907,179.070770
sigmoid,l1,25,1.000000e-09,1.000000e-01,24.241253,25.506927
sigmoid,l1,25,1.000000e-08,1.000000e-01,22.889330,24.335958
sigmoid,l1,25,1.000000e-07,1.000000e-01,26.687105,28.415987
sigmoid,l1,25,1.000000e-06,1.000000e-01,23.814857,25.593445
sigmoid,l1,25,1.000000e-05,1.000000e-01,26.148258,27.556295
sigmoid,l1,25,1.000000e-04,1.000000e-01,43.067070,43.860008
sigmoid,l1,25,1.000000e-03,1.000000e-01,68.696815,68.589828
sigmoid,l1,25,1.000000e-09,1.000000e+00,66.589867,67.931953
sigmoid,l1,25,1.000000e-08,1.000000e+00,191.574844,191.681213
sigmoid,l1,25,1.000000e-07,1.000000e+00,181.214355,181.321152
sigmoid,l1,25,1.000000e-06,1.000000e+00,179.135818,179.245773
sigmoid,l1,25,1.000000e-05,1.000000e+00,183.717117,183.830704
sigmoid,l1,25,1.000000e-04,1.000000e+00,188.726135,188.837128
sigmoid,l1,25,1.000000e-03,1.000000e+00,186.949280,187.060760
sigmoid,l2,25,1.000000e-09,1.000000e-03,2.345647,14.890167
sigmoid,l2,25,1.000000e-08,1.000000e-03,2.099748,14.770965
sigmoid,l2,25,1.000000e-07,1.000000e-03,1.667013,14.975267
sigmoid,l2,25,1.000000e-06,1.000000e-03,3.126981,15.356740
sigmoid,l2,25,1.000000e-05,1.000000e-03,2.175709,14.384870
sigmoid,l2,25,1.000000e-04,1.000000e-03,178.922546,179.032272
sigmoid,l2,25,1.000000e-03,1.000000e-03,178.922531,179.032379
sigmoid,l2,25,1.000000e-09,1.000000e-02,4.587253,16.266304
sigmoid,l2,25,1.000000e-08,1.000000e-02,4.128902,14.594730
sigmoid,l2,25,1.000000e-07,1.000000e-02,3.986826,14.853555
sigmoid,l2,25,1.000000e-06,1.000000e-02,4.340250,14.951897
sigmoid,l2,25,1.000000e-05,1.000000e-02,5.642572,15.008034
sigmoid,l2,25,1.000000e-04,1.000000e-02,7.333892,15.809184
sigmoid,l2,25,1.000000e-03,1.000000e-02,10.111807,14.981975
sigmoid,l2,25,1.000000e-09,1.000000e-01,23.452375,25.692526
sigmoid,l2,25,1.000000e-08,1.000000e-01,24.791077,26.805941
sigmoid,l2,25,1.000000e-07,1.000000e-01,24.157316,26.696520
sigmoid,l2,25,1.000000e-06,1.000000e-01,30.627666,32.267433
sigmoid,l2,25,1.000000e-05,1.000000e-01,51.584198,54.080055
sigmoid,l2,25,1.000000e-04,1.000000e-01,76.310875,75.949326
sigmoid,l2,25,1.000000e-03,1.000000e-01,44.850040,44.785774
sigmoid,l2,25,1.000000e-09,1.000000e+00,121.863594,122.858208
sigmoid,l2,25,1.000000e-08,1.000000e+00,179.593140,179.703522
sigmoid,l2,25,1.000000e-07,1.000000e+00,178.924652,179.034332
sigmoid,l2,25,1.000000e-06,1.000000e+00,180.770615,180.882080
sigmoid,l2,25,1.000000e-05,1.000000e+00,180.773468,180.884857
sigmoid,l2,25,1.000000e-04,1.000000e+00,178.992142,179.100815
sigmoid,l2,25,1.000000e-03,1.000000e+00,184.059235,184.172546
elu,l1,25,1.000000e-09,1.000000e-03,7.624587,17.924128
elu,l1,25,1.000000e-08,1.000000e-03,7.611068,17.802139
elu,l1,25,1.000000e-07,1.000000e-03,9.613862,18.126358
elu,l1,25,1.000000e-06,1.000000e-03,7.563940,17.424055
elu,l1,25,1.000000e-05,1.000000e-03,8.282111,17.352228
elu,l1,25,1.000000e-04,1.000000e-03,8.470210,17.168489
elu,l1,25,1.000000e-03,1.000000e-03,12.411798,20.335308
elu,l1,25,1.000000e-09,1.000000e-02,14.085832,19.705189
elu,l1,25,1.000000e-08,1.000000e-02,9.017796,16.303473
elu,l1,25,1.000000e-07,1.000000e-02,6.814407,16.018124
elu,l1,25,1.000000e-06,1.000000e-02,5.339984,15.180125
elu,l1,25,1.000000e-05,1.000000e-02,7.898331,17.445965
elu,l1,25,1.000000e-04,1.000000e-02,10.871412,17.342913
elu,l1,25,1.000000e-03,1.000000e-02,13.409817,16.105089
elu,l1,25,1.000000e-09,1.000000e-01,179.097961,179.207260
elu,l1,25,1.000000e-08,1.000000e-01,51.253468,52.590130
elu,l1,25,1.000000e-07,1.000000e-01,26.765924,29.306911
elu,l1,25,1.000000e-06,1.000000e-01,50.904182,50.278431
elu,l1,25,1.000000e-05,1.000000e-01,67.646042,69.371346
elu,l1,25,1.000000e-04,1.000000e-01,19.832228,21.587475
elu,l1,25,1.000000e-03,1.000000e-01,19.561710,20.556911
elu,l1,25,1.000000e-09,1.000000e+00,179.099762,179.207504
elu,l1,25,1.000000e-08,1.000000e+00,179.615524,179.725800
elu,l1,25,1.000000e-07,1.000000e+00,179.647949,179.755859
elu,l1,25,1.000000e-06,1.000000e+00,185.477234,185.587341
elu,l1,25,1.000000e-05,1.000000e+00,240.749954,240.859406
elu,l1,25,1.000000e-04,1.000000e+00,716.505554,716.609802
elu,l1,25,1.000000e-03,1.000000e+00,1402.761719,1600.610840
elu,l2,25,1.000000e-09,1.000000e-03,5.553540,16.386517
elu,l2,25,1.000000e-08,1.000000e-03,11.745728,18.500219
elu,l2,25,1.000000e-07,1.000000e-03,7.605957,16.765112
elu,l2,25,1.000000e-06,1.000000e-03,7.281522,16.617865
elu,l2,25,1.000000e-05,1.000000e-03,6.379771,16.273289
elu,l2,25,1.000000e-04,1.000000e-03,8.322667,17.374588
elu,l2,25,1.000000e-03,1.000000e-03,14.255071,21.759747
elu,l2,25,1.000000e-09,1.000000e-02,5.308024,14.706343
elu,l2,25,1.000000e-08,1.000000e-02,11.263046,18.187504
elu,l2,25,1.000000e-07,1.000000e-02,5.713696,15.044460
elu,l2,25,1.000000e-06,1.000000e-02,7.526445,15.899898
elu,l2,25,1.000000e-05,1.000000e-02,7.405334,16.767885
elu,l2,25,1.000000e-04,1.000000e-02,10.792617,18.104239
elu,l2,25,1.000000e-03,1.000000e-02,11.947049,15.349364
elu,l2,25,1.000000e-09,1.000000e-01,179.582870,179.689697
elu,l2,25,1.000000e-08,1.000000e-01,179.811401,179.918564
elu,l2,25,1.000000e-07,1.000000e-01,179.432907,179.540207
elu,l2,25,1.000000e-06,1.000000e-01,31.237251,31.735184
elu,l2,25,1.000000e-05,1.000000e-01,16.891029,18.232903
elu,l2,25,1.000000e-04,1.000000e-01,21.308359,22.720486
elu,l2,25,1.000000e-03,1.000000e-01,21.874659,23.078018
elu,l2,25,1.000000e-09,1.000000e+00,181.308502,181.419632
elu,l2,25,1.000000e-08,1.000000e+00,179.302292,179.411758
elu,l2,25,1.000000e-07,1.000000e+00,189.499329,189.610519
elu,l2,25,1.000000e-06,1.000000e+00,178.958191,179.067291
elu,l2,25,1.000000e-05,1.000000e+00,178.937363,179.046356
elu,l2,25,1.000000e-04,1.000000e+00,190.519455,190.629776
elu,l2,25,1.000000e-03,1.000000e+00,179.251572,179.360657
