Activation_function,regulizer,batch_size,lambda,eta,train_err,test_err
sigmoid,l1,25,1.000000e-09,1.000000e-03,839.712952,839.845703
sigmoid,l1,25,1.000000e-08,1.000000e-03,823.827637,823.963684
sigmoid,l1,25,1.000000e-07,1.000000e-03,827.579651,827.716309
sigmoid,l1,25,1.000000e-06,1.000000e-03,823.214478,823.350037
sigmoid,l1,25,1.000000e-05,1.000000e-03,803.442749,803.568298
sigmoid,l1,25,1.000000e-04,1.000000e-03,761.725952,761.819092
sigmoid,l1,25,1.000000e-03,1.000000e-03,738.695984,738.764465
sigmoid,l1,25,1.000000e-09,1.000000e-02,8.428129,14.840800
sigmoid,l1,25,1.000000e-08,1.000000e-02,7.932676,14.500277
sigmoid,l1,25,1.000000e-07,1.000000e-02,7.898602,15.269319
sigmoid,l1,25,1.000000e-06,1.000000e-02,8.359876,14.965543
sigmoid,l1,25,1.000000e-05,1.000000e-02,8.540342,15.169840
sigmoid,l1,25,1.000000e-04,1.000000e-02,9.528302,15.439440
sigmoid,l1,25,1.000000e-03,1.000000e-02,179.100830,179.210388
sigmoid,l1,25,1.000000e-09,1.000000e-01,44.030296,44.840279
sigmoid,l1,25,1.000000e-08,1.000000e-01,38.341599,38.654819
sigmoid,l1,25,1.000000e-07,1.000000e-01,32.929119,33.051891
sigmoid,l1,25,1.000000e-06,1.000000e-01,33.562325,34.358345
sigmoid,l1,25,1.000000e-05,1.000000e-01,36.164139,36.005688
sigmoid,l1,25,1.000000e-04,1.000000e-01,48.502251,48.998375
sigmoid,l1,25,1.000000e-03,1.000000e-01,87.381851,87.428383
sigmoid,l1,25,1.000000e-09,1.000000e+00,68.075722,68.068115
sigmoid,l1,25,1.000000e-08,1.000000e+00,71.468140,72.838799
sigmoid,l1,25,1.000000e-07,1.000000e+00,70.824753,70.902748
sigmoid,l1,25,1.000000e-06,1.000000e+00,115.160614,114.813797
sigmoid,l1,25,1.000000e-05,1.000000e+00,78.739449,77.484901
sigmoid,l1,25,1.000000e-04,1.000000e+00,127.519150,127.182449
sigmoid,l1,25,1.000000e-03,1.000000e+00,205.074234,205.182983
sigmoid,l2,25,1.000000e-09,1.000000e-03,835.182556,835.317139
sigmoid,l2,25,1.000000e-08,1.000000e-03,842.525208,842.657471
sigmoid,l2,25,1.000000e-07,1.000000e-03,808.327087,808.455872
sigmoid,l2,25,1.000000e-06,1.000000e-03,876.578491,876.680115
sigmoid,l2,25,1.000000e-05,1.000000e-03,802.037537,802.162048
sigmoid,l2,25,1.000000e-04,1.000000e-03,794.980469,795.099976
sigmoid,l2,25,1.000000e-03,1.000000e-03,756.989380,757.077698
sigmoid,l2,25,1.000000e-09,1.000000e-02,8.303931,15.195150
sigmoid,l2,25,1.000000e-08,1.000000e-02,7.683302,14.405846
sigmoid,l2,25,1.000000e-07,1.000000e-02,10.423529,16.831793
sigmoid,l2,25,1.000000e-06,1.000000e-02,7.456172,14.169341
sigmoid,l2,25,1.000000e-05,1.000000e-02,9.509576,15.803882
sigmoid,l2,25,1.000000e-04,1.000000e-02,9.618439,15.865949
sigmoid,l2,25,1.000000e-03,1.000000e-02,13.829266,17.770206
sigmoid,l2,25,1.000000e-09,1.000000e-01,40.296600,41.494221
sigmoid,l2,25,1.000000e-08,1.000000e-01,36.679348,36.909676
sigmoid,l2,25,1.000000e-07,1.000000e-01,34.401669,35.260170
sigmoid,l2,25,1.000000e-06,1.000000e-01,32.341255,33.258160
sigmoid,l2,25,1.000000e-05,1.000000e-01,47.235565,47.698784
sigmoid,l2,25,1.000000e-04,1.000000e-01,69.938988,70.986053
sigmoid,l2,25,1.000000e-03,1.000000e-01,87.758369,88.109596
sigmoid,l2,25,1.000000e-09,1.000000e+00,61.038254,61.587017
sigmoid,l2,25,1.000000e-08,1.000000e+00,81.659950,82.429420
sigmoid,l2,25,1.000000e-07,1.000000e+00,100.263565,99.414429
sigmoid,l2,25,1.000000e-06,1.000000e+00,109.821922,110.642738
sigmoid,l2,25,1.000000e-05,1.000000e+00,180.319168,180.430908
sigmoid,l2,25,1.000000e-04,1.000000e+00,181.897141,182.008148
sigmoid,l2,25,1.000000e-03,1.000000e+00,181.119904,181.231216
elu,l1,25,1.000000e-09,1.000000e-03,17.655289,22.694408
elu,l1,25,1.000000e-08,1.000000e-03,22.086782,25.713428
elu,l1,25,1.000000e-07,1.000000e-03,17.773359,22.689121
elu,l1,25,1.000000e-06,1.000000e-03,17.803095,21.627800
elu,l1,25,1.000000e-05,1.000000e-03,20.404818,24.346302
elu,l1,25,1.000000e-04,1.000000e-03,23.268507,27.636864
